swnval,pos,neg,neut,yval
1.25,2,0,4,2
0.625,2,2,11,2
0.979166666667,4,3,16,2
1.20833333333,3,0,5,2
0.875,1,1,14,2
0.9375,2,5,8,2
1.425,6,1,8,2
1.25,1,1,6,2
1.125,3,1,16,2
1.5,2,0,6,2
1.0625,3,1,3,2
0.375,1,1,5,2
1,0,0,10,2
1.25,8,1,19,2
1.25,4,2,17,2
1.225,4,2,11,2
1.15,3,1,13,2
0.625,0,1,12,2
0.875,2,2,19,2
1.5,1,1,4,2
1.125,1,0,2,2
0.375,0,2,4,2
1.0625,4,2,20,2
1.625,1,0,1,2
1.25,2,0,6,2
1.08333333333,2,2,8,2
1.28125,4,2,23,2
0.84375,2,3,5,2
0.946428571429,7,7,19,2
1.125,2,0,7,2
1.33333333333,3,0,10,2
1.03125,3,4,16,2
1.21875,6,2,13,2
1.3125,2,0,8,2
1.27083333333,7,0,8,2
1.29166666667,6,0,7,2
0.75,1,2,17,2
1.375,1,0,5,2
1.29166666667,3,0,12,2
1.0,3,1,5,2
1.375,1,1,6,2
1.4,5,0,6,2
0.875,3,3,12,2
0.6875,1,1,11,2
1.08333333333,2,1,9,2
0.875,0,1,8,2
0.916666666667,3,2,7,2
1.0625,1,1,12,2
1.625,1,0,3,2
1,1,0,8,2
1,0,0,2,2
1.5,1,0,4,2
1.23214285714,6,1,16,2
0.5625,0,2,19,2
1.025,6,4,14,2
0.8125,2,1,8,2
1.25,5,2,10,2
0.875,1,1,6,2
1.225,5,0,14,2
1.3125,3,0,19,2
0.75,2,3,5,2
0.791666666667,1,3,20,2
1.2,4,3,15,2
1.25,1,0,11,2
1.29166666667,3,0,26,2
1.125,1,1,5,2
0.708333333333,0,2,10,2
0.8125,0,2,4,2
1.3125,3,0,11,2
1.375,1,0,5,2
1.23214285714,8,2,15,2
1.375,3,0,6,2
0.95,2,2,16,2
1.09375,2,3,8,2
0.953125,4,5,9,2
1.125,2,0,11,2
1.1,1,2,7,2
1.16666666667,3,2,6,2
1.20833333333,2,1,10,2
1.025,4,2,15,2
0.925,2,4,13,2
0.875,1,1,2,2
1.21428571429,5,2,9,2
1.25,5,0,13,2
0.75,3,3,18,2
1.14583333333,5,0,12,2
1.1875,5,6,7,2
1.33333333333,2,1,7,2
1.0625,3,2,8,2
1.25,4,0,4,2
0.625,2,3,6,2
1.0625,4,1,5,2
0.78125,1,4,10,2
1.41666666667,5,1,5,2
